iter	Passed	Remaining
538	1228	1050
539	1229	1047
540	1231	1044
541	1232	1041
542	1233	1038
543	1234	1034
544	1235	1031
545	1236	1028
546	1237	1024
547	1238	1021
548	1240	1019
549	1241	1016
550	1243	1013
551	1244	1009
552	1245	1006
553	1246	1003
554	1247	1000
555	1248	997
556	1249	993
557	1251	991
558	1253	988
559	1254	985
560	1256	983
561	1259	981
562	1261	979
563	1262	975
564	1263	972
565	1265	970
566	1266	967
567	1267	963
568	1267	960
569	1268	957
570	1269	954
571	1270	950
572	1272	947
573	1273	944
574	1274	942
575	1276	939
576	1278	936
577	1278	933
578	1279	930
579	1281	927
580	1282	924
581	1283	921
582	1284	918
583	1285	915
584	1286	912
585	1287	909
586	1288	906
587	1289	903
588	1290	900
589	1291	897
590	1293	895
591	1294	892
592	1295	889
593	1296	886
594	1297	883
595	1298	880
596	1300	877
597	1301	874
598	1302	871
599	1302	868
600	1303	865
601	1304	862
602	1305	859
603	1306	856
604	1307	853
605	1309	851
606	1314	850
607	1315	847
608	1316	844
609	1317	842
610	1318	839
611	1319	836
612	1320	833
613	1322	831
614	1323	828
615	1325	826
616	1326	823
617	1327	820
618	1328	817
619	1332	816
620	1334	814
621	1335	811
622	1339	810
623	1341	808
624	1343	806
625	1348	805
626	1352	804
627	1354	802
628	1356	800
629	1359	798
630	1360	795
631	1363	793
632	1376	797
633	1380	797
634	1383	795
635	1388	794
636	1390	792
637	1393	790
638	1395	788
639	1397	786
640	1400	784
641	1402	782
642	1407	781
643	1409	779
644	1411	776
645	1414	775
646	1417	773
647	1420	771
648	1427	771
649	1429	769
650	1435	769
651	1440	768
652	1443	767
653	1446	765
654	1448	763
655	1450	760
656	1451	757
657	1454	756
658	1456	753
659	1457	751
660	1459	748
661	1464	747
662	1466	745
663	1468	743
664	1470	740
665	1471	738
666	1473	735
667	1475	733
668	1477	731
669	1478	728
670	1479	725
671	1481	723
672	1482	720
673	1483	717
674	1484	714
675	1486	712
676	1487	709
677	1488	707
678	1490	704
679	1491	701
680	1492	698
681	1493	696
682	1494	693
683	1496	691
684	1497	688
685	1498	685
686	1499	683
687	1500	680
688	1502	678
689	1503	675
690	1503	672
691	1505	670
692	1507	667
693	1508	665
694	1509	662
695	1510	659
696	1511	657
697	1512	654
698	1513	651
699	1514	649
700	1515	646
701	1516	643
702	1517	641
703	1518	638
704	1519	635
705	1520	633
706	1521	630
707	1521	627
708	1522	624
709	1523	622
710	1524	619
711	1524	616
712	1526	614
713	1527	611
714	1529	609
715	1530	607
716	1531	604
717	1533	602
718	1535	599
719	1536	597
720	1538	595
721	1539	592
722	1540	590
723	1541	587
724	1543	585
725	1544	582
726	1546	580
727	1547	578
728	1548	575
729	1549	573
730	1551	571
731	1553	568
732	1554	566
733	1555	563
734	1557	561
735	1558	558
736	1559	556
737	1560	553
738	1561	551
739	1562	549
740	1563	546
741	1565	544
742	1567	542
743	1568	539
744	1569	537
745	1575	536
746	1579	534
747	1581	532
748	1585	531
749	1587	529
750	1589	526
751	1591	524
752	1595	523
753	1611	525
754	1613	523
755	1615	521
756	1617	519
757	1618	516
758	1619	514
759	1620	511
760	1621	509
761	1623	506
762	1630	506
763	1631	504
764	1633	501
765	1634	499
766	1640	498
767	1641	495
768	1642	493
769	1643	490
770	1647	489
771	1649	487
772	1651	484
773	1652	482
774	1652	479
775	1653	477
776	1659	476
777	1660	473
778	1660	471
779	1661	468
780	1662	466
781	1663	463
782	1664	461
783	1669	459
784	1672	457
785	1672	455
786	1674	453
787	1675	450
788	1675	448
789	1680	446
790	1682	444
791	1682	441
792	1685	439
793	1686	437
794	1686	434
795	1687	432
796	1693	431
797	1694	428
798	1695	426
799	1696	424
800	1697	421
801	1701	420
802	1704	418
803	1715	418
804	1718	416
805	1719	413
806	1722	412
807	1725	410
808	1726	407
809	1733	406
810	1734	404
811	1735	401
812	1736	399
813	1737	396
814	1739	394
815	1741	392
816	1742	390
817	1744	388
818	1745	385
819	1749	384
820	1752	382
821	1753	379
822	1754	377
823	1755	374
824	1756	372
825	1757	370
826	1758	367
827	1759	365
828	1761	363
829	1762	361
830	1763	358
831	1765	356
832	1767	354
833	1768	351
834	1769	349
835	1770	347
836	1770	344
837	1771	342
838	1772	340
839	1774	337
840	1775	335
841	1778	333
842	1779	331
843	1784	329
844	1786	327
845	1787	325
846	1788	323
847	1790	320
848	1791	318
849	1792	316
850	1795	314
851	1798	312
852	1819	313
853	1830	312
854	1834	311
855	1837	309
856	1845	308
857	1850	306
858	1852	304
859	1854	301
860	1855	299
861	1857	297
862	1862	295
863	1865	293
864	1867	291
865	1870	289
866	1873	287
867	1880	285
868	1886	284
869	1889	282
870	1891	280
871	1893	277
872	1894	275
873	1901	274
874	1903	271
875	1905	269
876	1906	267
877	1907	265
878	1909	262
879	1910	260
880	1913	258
881	1916	256
882	1919	254
883	1920	252
884	1921	249
885	1923	247
886	1925	245
887	1926	242
888	1927	240
889	1928	238
890	1929	236
891	1930	233
892	1932	231
893	1936	229
894	1938	227
895	1939	225
896	1941	222
897	1942	220
898	1943	218
899	1944	216
900	1946	213
901	1948	211
902	1949	209
903	1950	207
904	1953	205
905	1954	202
906	1955	200
907	1956	198
908	1958	196
909	1959	193
910	1960	191
911	1962	189
912	1963	187
913	1964	184
914	1965	182
915	1967	180
916	1968	178
917	1969	175
918	1972	173
919	1974	171
920	1975	169
921	1976	167
922	1977	164
923	1978	162
924	1979	160
925	1980	158
926	1983	156
927	1985	154
928	1986	151
929	1987	149
930	1989	147
931	1992	145
932	1993	143
933	1993	140
934	1994	138
935	1995	136
936	1996	134
937	1997	132
938	1998	129
939	1999	127
940	1999	125
941	2000	123
942	2001	120
943	2002	118
944	2003	116
945	2004	114
946	2004	112
947	2005	110
948	2006	107
949	2007	105
950	2009	103
951	2010	101
952	2011	99
953	2012	97
954	2013	94
955	2013	92
956	2014	90
957	2015	88
958	2016	86
959	2017	84
960	2018	81
961	2018	79
962	2019	77
963	2020	75
964	2021	73
965	2022	71
966	2022	69
967	2023	66
968	2024	64
969	2025	62
970	2028	60
971	2029	58
972	2030	56
973	2030	54
974	2031	52
975	2032	49
976	2033	47
977	2033	45
978	2034	43
979	2035	41
980	2036	39
981	2037	37
982	2038	35
983	2038	33
984	2039	31
985	2040	28
986	2041	26
987	2042	24
988	2043	22
989	2045	20
990	2046	18
991	2047	16
992	2048	14
993	2049	12
994	2049	10
995	2050	8
996	2051	6
997	2052	4
998	2053	2
999	2053	0
